"Study" "beta_orig" "se_orig" "beta_rep" "se_rep" "PRP_MCMC"
"1" 1 0.6847602 0.2886751 0.1494431 0.1924501 0.141042142514009
"2" 2 0.7107071 0.2132007 0.2337721 0.2132007 0.147528880437343
"3" 3 0.4537537 0.2085144 -0.2186635 0.1825742 0.0169111702510283
"4" 4 0.2328591 0.0727393 -0.006108434 0.06119901 0.0179381005030391
"5" 5 0.4989624 0.1825742 0.1356375 0.147442 0.14464823865132
"6" 6 0.6853098 0.2132007 0.4187104 0.1825742 0.389161520016174
"7" 7 0.8976337 0.1010153 0.1321764 0.2773501 0.0334569004505589
"8" 8 0.6349081 0.1666667 -0.1110688 0.1825742 0.00533154341597465
"9" 10 0.8645347 0.1924501 1.047227 0.1889822 0.75919741023109
"10" 11 0.8145346 0.2236068 0.5055153 0.1889822 0.352636716959011
"13" 15 0.1976713 0.1036952 0.2520856 0.06454972 0.76801195110441
"15" 19 0.6335607 0.1825742 0.4259596 0.2357023 0.491859479412111
"16" 20 0.2279604 0.1036952 0.0194245 0.09759001 0.152628671414808
"18" 24 0.3811807 0.08137885 0.2923262 0.145865 0.578531728049238
"20" 26 0.1623677 0.1036952 0.1450778 0.1048285 0.869336040112548
"21" 27 0.3978046 0.1825742 0.3995618 0.1203859 0.963199492650663
"22" 28 0.3560992 0.1825742 0.1036305 0.1059998 0.248289453160663
"23" 29 0.9456795 0.4082483 0.8749986 0.2773501 0.846882532768521
"24" 32 0.7304939 0.1690309 0.5239165 0.1666667 0.452569247544841
"25" 33 0.5719806 0.1622214 0.3271971 0.1622214 0.329468018465494
"26" 36 0.8951363 0.2294157 0.8320226 0.2294157 0.801218936478536
"27" 37 0.6200721 0.3162278 0.3652063 0.25 0.53301035049078
"29" 44 0.3679246 0.1230915 0.1513829 0.07559289 0.175437871359024
"31" 48 0.2294328 0.1048285 -0.05233802 0.07235746 0.0299666882981442
"32" 49 0.3981271 0.1740777 -0.03049499 0.1084652 0.0405788276652672
"34" 52 0.2087157 0.0877058 0.0943002 0.09534626 0.383816797435675
"35" 53 0.3967059 0.1825742 0.07685162 0.1178511 0.155059299213572
"37" 56 0.3990543 0.1010153 -0.04216507 0.164399 0.0328947688757749
"38" 58 0.1688759 0.07432941 0.03676831 0.06008418 0.183241353412107
"39" 61 0.2233061 0.09667365 -0.004719381 0.06757374 0.0604330539588908
"40" 63 0.2811945 0.1221694 0.0739317 0.08333333 0.178875492454928
"42" 65 0.4621878 0.1581139 0.0117217 0.0877058 0.0169473586613428
"43" 68 0.1880351 0.09325048 0.003001497 0.06726728 0.115550482778193
"44" 71 0.2258972 0.05184758 0.07348573 0.0758098 0.13684238917614
"45" 72 0.210707 0.0625 0.04452522 0.06375767 0.0874145377531322
"47" 81 0.2750084 0.1059998 -0.1019894 0.08574929 0.00671156917328427
"50" 87 0.4183734 0.1414214 0.01304619 0.147442 0.0588816576503916
"51" 89 0.1407385 0.2 0.02941318 0.2 0.68864944711732
"52" 93 0.3288232 0.1104315 -0.1359311 0.1221694 0.00639687923566312
"53" 94 0.3589774 0.2 0.2982479 0.1313064 0.774682153275279
"54" 97 0.398045 0.1178511 -0.03695216 0.02594996 0.000484112394279774
"55" 106 0.4020998 0.1740777 -0.2267277 0.1507557 0.00722790174676027
"56" 107 0.2261062 0.1097643 0.1053296 0.08032193 0.387898425471939
"57" 110 0.6247509 0.06008418 0.0914165 0.08421519 0.00263405685127192
"58" 111 0.3466948 0.1360828 0.2297217 0.09325048 0.498594358936264
"59" 112 0.8694385 0.3535534 0.9738801 0.3535534 0.939572833560162
"60" 113 0.8312604 0.09016696 1.004575 0.0758098 0.686661025797697
"61" 114 0.6485508 0.1856953 0.7800413 0.1856953 0.804537016961272
"62" 115 0.5517078 0.1825742 -0.4849359 0.3779645 0.0154450191423558
"63" 116 0.2960774 0.07647191 0.3346884 0.08512565 0.898867374714408
"65" 118 0.2170314 0.09534626 -0.04895731 0.07980869 0.0360370252690688
"66" 120 0.4000597 0.1889822 0.2554128 0.1581139 0.554769217493779
"67" 121 1.262236 0.3333333 1.184923 0.2182179 0.818488416927425
"68" 122 0.9115806 0.4082483 1.608476 0.2581989 0.331892190694975
"69" 124 0.4050486 0.1740777 -0.034293 0.1221694 0.0437573335825013
"70" 127 0.8391288 0.1924501 0.5864088 0.2041241 0.432190231963691
"71" 129 0.3904814 0.2 0.01767675 0.1259882 0.122387049454763
"73" 133 0.4792623 0.2132007 0.4517833 0.1666667 0.883023898264225
"74" 134 0.2131384 0.09365858 0.5495461 0.06551218 0.0757341838410653
"75" 135 0.004640053 0.04222003 0.1062895 0.01687875 0.0662275210418131
"76" 136 0.5468414 0.1924501 0.1027149 0.13484 0.0763681158140509
"81" 145 1.017025 0.1154701 0.7804808 0.1690309 0.430737454249684
"82" 146 0.7752218 0.2773501 0.5454237 0.3162278 0.573924176194024
"83" 148 0.19095 0.07198158 -0.03018146 0.06225728 0.0246926559835005
"84" 149 0.19095 0.07198158 0.01828545 0.05652334 0.0719071908256842
"85" 150 0.9129317 0.2886751 0.2105724 0.2425356 0.0853685467005278
"86" 151 0.4236611 0.1581139 0.002839806 0.09016696 0.0259656648643635
"87" 153 1.291628 0.4082483 0.1206557 0.4082483 0.0576852649199442
"88" 154 0.4598967 0.1221694 0.1104469 0.2773501 0.248864870987971
"89" 155 0.3205454 0.1414214 -0.03401311 0.1203859 0.0622397993044368
"90" 158 0.3939819 0.164399 0.4372189 0.1042572 0.915032511018437
"91" 161 0.5274668 0.1524986 0.1797488 0.1524986 0.144213426849619
"92" 167 0.685792 0.25 0.2598355 0.2236068 0.2289510534986
