"Study" "beta_orig" "se_orig" "beta_rep" "se_rep" "PRP_MCMC"
"1" 1 0.6847602 0.2886751 0.1494431 0.1924501 0.0691383799030263
"2" 2 0.7107071 0.2132007 0.2337721 0.2132007 0.0728384900038172
"3" 3 0.4537537 0.2085144 -0.2186635 0.1825742 0.00851453249892538
"4" 4 0.2328591 0.0727393 -0.006108434 0.06119901 0.00910364398781109
"5" 5 0.4989624 0.1825742 0.1356375 0.147442 0.0719570864634588
"6" 6 0.6853098 0.2132007 0.4187104 0.1825742 0.191890897695415
"7" 7 0.8976337 0.1010153 0.1321764 0.2773501 0.0167361243724784
"8" 8 0.6349081 0.1666667 -0.1110688 0.1825742 0.002692786146803
"9" 10 0.8645347 0.1924501 1.047227 0.1889822 0.619799728726068
"10" 11 0.8145346 0.2236068 0.5055153 0.1889822 0.176197983815385
"13" 15 0.1976713 0.1036952 0.2520856 0.06454972 0.612144395476307
"15" 19 0.6335607 0.1825742 0.4259596 0.2357023 0.248372867078328
"16" 20 0.2279604 0.1036952 0.0194245 0.09759001 0.0757725006013608
"18" 24 0.3811807 0.08137885 0.2923262 0.145865 0.292394428149596
"20" 26 0.1623677 0.1036952 0.1450778 0.1048285 0.436278922040146
"21" 27 0.3978046 0.1825742 0.3995618 0.1203859 0.480211181766052
"22" 28 0.3560992 0.1825742 0.1036305 0.1059998 0.1234997940509
"23" 29 0.9456795 0.4082483 0.8749986 0.2773501 0.426204398680445
"24" 32 0.7304939 0.1690309 0.5239165 0.1666667 0.224957245238743
"25" 33 0.5719806 0.1622214 0.3271971 0.1622214 0.166083891783676
"26" 36 0.8951363 0.2294157 0.8320226 0.2294157 0.400020919640721
"27" 37 0.6200721 0.3162278 0.3652063 0.25 0.266081878904626
"29" 44 0.3679246 0.1230915 0.1513829 0.07559289 0.088223111634518
"31" 48 0.2294328 0.1048285 -0.05233802 0.07235746 0.0149435399061112
"32" 49 0.3981271 0.1740777 -0.03049499 0.1084652 0.0205536995943524
"34" 52 0.2087157 0.0877058 0.0943002 0.09534626 0.192527779495107
"35" 53 0.3967059 0.1825742 0.07685162 0.1178511 0.0776915244309523
"37" 56 0.3990543 0.1010153 -0.04216507 0.164399 0.0162584035489458
"38" 58 0.1688759 0.07432941 0.03676831 0.06008418 0.0906738711373091
"39" 61 0.2233061 0.09667365 -0.004719381 0.06757374 0.0297415396080399
"40" 63 0.2811945 0.1221694 0.0739317 0.08333333 0.0889282235605225
"42" 65 0.4621878 0.1581139 0.0117217 0.0877058 0.00851160102094406
"43" 68 0.1880351 0.09325048 0.003001497 0.06726728 0.0573409759200822
"44" 71 0.2258972 0.05184758 0.07348573 0.0758098 0.0684910323523782
"45" 72 0.210707 0.0625 0.04452522 0.06375767 0.0436125994206079
"47" 81 0.2750084 0.1059998 -0.1019894 0.08574929 0.00344045168084501
"50" 87 0.4183734 0.1414214 0.01304619 0.147442 0.0301470520660439
"51" 89 0.1407385 0.2 0.02941318 0.2 0.343676982180589
"52" 93 0.3288232 0.1104315 -0.1359311 0.1221694 0.00321486853957587
"53" 94 0.3589774 0.2 0.2982479 0.1313064 0.392149879830849
"54" 97 0.398045 0.1178511 -0.03695216 0.02594996 0.000222019243525936
"55" 106 0.4020998 0.1740777 -0.2267277 0.1507557 0.00366348522482641
"56" 107 0.2261062 0.1097643 0.1053296 0.08032193 0.193912493536508
"57" 110 0.6247509 0.06008418 0.0914165 0.08421519 0.00131395230843945
"58" 111 0.3466948 0.1360828 0.2297217 0.09325048 0.251151545576088
"59" 112 0.8694385 0.3535534 0.9738801 0.3535534 0.532065422376201
"60" 113 0.8312604 0.09016696 1.004575 0.0758098 0.653149374936605
"61" 114 0.6485508 0.1856953 0.7800413 0.1856953 0.600016886312077
"62" 115 0.5517078 0.1825742 -0.4849359 0.3779645 0.00773345129973348
"63" 116 0.2960774 0.07647191 0.3346884 0.08512565 0.551885383643692
"65" 118 0.2170314 0.09534626 -0.04895731 0.07980869 0.0181766903780341
"66" 120 0.4000597 0.1889822 0.2554128 0.1581139 0.280180770541272
"67" 121 1.262236 0.3333333 1.184923 0.2182179 0.409566785134927
"68" 122 0.9115806 0.4082483 1.608476 0.2581989 0.830419680050606
"69" 124 0.4050486 0.1740777 -0.034293 0.1221694 0.0220466999469415
"70" 127 0.8391288 0.1924501 0.5864088 0.2041241 0.214527774089935
"71" 129 0.3904814 0.2 0.01767675 0.1259882 0.0612791907524688
"73" 133 0.4792623 0.2132007 0.4517833 0.1666667 0.432816923706431
"74" 134 0.2131384 0.09365858 0.5495461 0.06551218 0.955117780544204
"75" 135 0.004640053 0.04222003 0.1062895 0.01687875 0.967385434853266
"76" 136 0.5468414 0.1924501 0.1027149 0.13484 0.0377414109319465
"81" 145 1.017025 0.1154701 0.7804808 0.1690309 0.216501454104854
"82" 146 0.7752218 0.2773501 0.5454237 0.3162278 0.286954031768095
"83" 148 0.19095 0.07198158 -0.03018146 0.06225728 0.0121838458485792
"84" 149 0.19095 0.07198158 0.01828545 0.05652334 0.0355367300175162
"85" 150 0.9129317 0.2886751 0.2105724 0.2425356 0.0426764708411705
"86" 151 0.4236611 0.1581139 0.002839806 0.09016696 0.012814422200604
"87" 153 1.291628 0.4082483 0.1206557 0.4082483 0.0290424141384095
"88" 154 0.4598967 0.1221694 0.1104469 0.2773501 0.124925362949572
"89" 155 0.3205454 0.1414214 -0.03401311 0.1203859 0.0313437142280786
"90" 158 0.3939819 0.164399 0.4372189 0.1042572 0.54530907919717
"91" 161 0.5274668 0.1524986 0.1797488 0.1524986 0.0722717095720368
"92" 167 0.685792 0.25 0.2598355 0.2236068 0.114047398373667
