"study" "beta_orig" "se_orig" "beta_rep" "se_rep" "PRP_original" "PRP_cefn"
"1" 1 0.6847602 0.2886751 0.1494431 0.1924501 0.165067455351513 0.0681979375757531
"2" 2 0.7107071 0.2132007 0.2337721 0.2132007 0.143330987705745 0.0589018484795025
"3" 3 0.4537537 0.2085144 -0.2186635 0.1825742 0.0208472651597279 0.026153727440251
"4" 4 0.2328591 0.0727393 -0.006108434 0.06119901 0.0163550090989199 0.594321029336474
"5" 5 0.4989624 0.1825742 0.1356375 0.147442 0.15941861663874 0.0590902727190721
"6" 6 0.6853098 0.2132007 0.4187104 0.1825742 0.417001048668019 0.19312071367927
"7" 7 0.8976337 0.1010153 0.1321764 0.2773501 0.0102774142579151 0.0310592017549984
"8" 8 0.6349081 0.1666667 -0.1110688 0.1825742 0.00342691367874009 0.0545475431608318
"9" 10 0.8645347 0.1924501 1.047227 0.1889822 0.429530953820608 0.546537139725904
"10" 11 0.8145346 0.2236068 0.5055153 0.1889822 0.352997607702426 0.21077330636637
"13" 15 0.1976713 0.1036952 0.2520856 0.06454972 0.48710500663704 0.136274626335165
"15" 19 0.6335607 0.1825742 0.4259596 0.2357023 0.557198411896354 0.231052578044139
"16" 20 0.2279604 0.1036952 0.0194245 0.09759001 0.186742831591445 0.326277027113471
"18" 24 0.3811807 0.08137885 0.2923262 0.145865 0.644055315139871 0.37396550798524
"20" 26 0.1623677 0.1036952 0.1450778 0.1048285 0.938229051160306 0.705621264560425
"21" 27 0.3978046 0.1825742 0.3995618 0.1203859 0.824003636669863 0.883176358175259
"22" 28 0.3560992 0.1825742 0.1036305 0.1059998 0.308687732674743 0.587704220392824
"23" 29 0.9456795 0.4082483 0.8749986 0.2773501 0.953872552265524 0.796957261786234
"24" 32 0.7304939 0.1690309 0.5239165 0.1666667 0.444872032519641 0.347054269846694
"25" 33 0.5719806 0.1622214 0.3271971 0.1622214 0.343834136006036 0.120526597551018
"26" 36 0.8951363 0.2294157 0.8320226 0.2294157 0.940314186305927 0.78322176656941
"27" 37 0.6200721 0.3162278 0.3652063 0.25 0.656233711204659 0.18649120366603
"29" 44 0.3679246 0.1230915 0.1513829 0.07559289 0.176603133248663 0.689908819544274
"31" 48 0.2294328 0.1048285 -0.05233802 0.07235746 0.037107693924599 0.661778701062891
"32" 49 0.3981271 0.1740777 -0.03049499 0.1084652 0.0506707575729843 0.475095763918227
"34" 52 0.2087157 0.0877058 0.0943002 0.09534626 0.46107124055726 0.399576110004804
"35" 53 0.3967059 0.1825742 0.07685162 0.1178511 0.189665537859714 0.37703822378174
"37" 56 0.3990543 0.1010153 -0.04216507 0.164399 0.0271808000205846 0.0133075837292773
"38" 58 0.1688759 0.07432941 0.03676831 0.06008418 0.219178932754028 0.629547519367067
"39" 61 0.2233061 0.09667365 -0.004719381 0.06757374 0.0728353916445457 0.758392464491061
"40" 63 0.2811945 0.1221694 0.0739317 0.08333333 0.214347215649286 0.979064953850121
"42" 65 0.4621878 0.1581139 0.0117217 0.0877058 0.0179355176939859 0.847741998144522
"43" 68 0.1880351 0.09325048 0.003001497 0.06726728 0.144687601886732 0.770075802394582
"44" 71 0.2258972 0.05184758 0.07348573 0.0758098 0.114414338849345 0.982656373429483
"45" 72 0.210707 0.0625 0.04452522 0.06375767 0.0804173237270881 0.355526923005476
"47" 81 0.2750084 0.1059998 -0.1019894 0.08574929 0.00793762995790479 0.897386717744859
"50" 87 0.4183734 0.1414214 0.01304619 0.147442 0.0619177389331993 -0.018398104427189
"51" 89 0.1407385 0.2 0.02941318 0.2 0.797872565374659 0.0737953912164335
"52" 93 0.3288232 0.1104315 -0.1359311 0.1221694 0.00650668942901604 0.145288550536491
"53" 94 0.3589774 0.2 0.2982479 0.1313064 0.974259208528618 0.586616892622985
"54" 97 0.398045 0.1178511 -0.03695216 0.02594996 0.000450130357822863 0.00023891720445961
"55" 106 0.4020998 0.1740777 -0.2267277 0.1507557 0.00871070165202766 0.0273968463898446
"56" 107 0.2261062 0.1097643 0.1053296 0.08032193 0.478895457082066 0.931710949435766
"57" 110 0.6247509 0.06008418 0.0914165 0.08421519 3.07009558415756e-07 0.628620690308065
"58" 111 0.3466948 0.1360828 0.2297217 0.09325048 0.593591697129974 0.972415719729438
"59" 112 0.8694385 0.3535534 0.9738801 0.3535534 0.703706895732247 0.868971913339032
"60" 113 0.8312604 0.09016696 1.004575 0.0758098 0.125071226840975 0.0964055751179142
"61" 114 0.6485508 0.1856953 0.7800413 0.1856953 0.523782807028617 0.653060745430833
"62" 115 0.5517078 0.1825742 -0.4849359 0.3779645 0.0166893926901682 0.014222644573793
"63" 116 0.2960774 0.07647191 0.3346884 0.08512565 0.64923826619797 0.345807820299946
"65" 118 0.2170314 0.09534626 -0.04895731 0.07980869 0.0442272250033484 0.881352910330083
"66" 120 0.4000597 0.1889822 0.2554128 0.1581139 0.684182767916347 0.185993762138668
"67" 121 1.262236 0.3333333 1.184923 0.2182179 0.9611890729407 0.974244039264006
"68" 122 0.9115806 0.4082483 1.608476 0.2581989 0.0903573169973195 0.142961715385119
"69" 124 0.4050486 0.1740777 -0.034293 0.1221694 0.053429121089923 0.155331675110231
"70" 127 0.8391288 0.1924501 0.5864088 0.2041241 0.42415184696119 0.321552966681077
"71" 129 0.3904814 0.2 0.01767675 0.1259882 0.155143223605007 0.141522885590693
"73" 133 0.4792623 0.2132007 0.4517833 0.1666667 0.925557006855507 0.761189641110829
"74" 134 0.2131384 0.09365858 0.5495461 0.06551218 0.00137724901983471 0.00757955758109382
"75" 135 0.004640053 0.04222003 0.1062895 0.01687875 0.00705074731375044 1.49916052475377e-211
"76" 136 0.5468414 0.1924501 0.1027149 0.13484 0.0795056650067721 0.10605863549138
"81" 145 1.017025 0.1154701 0.7804808 0.1690309 0.26685267170038 0.639611807259458
"82" 146 0.7752218 0.2773501 0.5454237 0.3162278 0.682166360379562 0.300939894118673
"83" 148 0.19095 0.07198158 -0.03018146 0.06225728 0.0276083368459935 0.00314300660485729
"84" 149 0.19095 0.07198158 0.01828545 0.05652334 0.0798648796360401 0.00122218435382889
"85" 150 0.9129317 0.2886751 0.2105724 0.2425356 0.0822839434485369 0.0768459889613502
"86" 151 0.4236611 0.1581139 0.002839806 0.09016696 0.0291171782050106 0.947732416378834
"87" 153 1.291628 0.4082483 0.1206557 0.4082483 0.0557388227441241 0.0345122692267767
"88" 154 0.4598967 0.1221694 0.1104469 0.2773501 0.277543312427218 -0.000761982044856779
"89" 155 0.3205454 0.1414214 -0.03401311 0.1203859 0.0759389113431661 0.126100547482626
"90" 158 0.3939819 0.164399 0.4372189 0.1042572 0.66432313159832 0.464504978423887
"91" 161 0.5274668 0.1524986 0.1797488 0.1524986 0.134444081524138 0.0436245947011518
